course_id,course_name,category,teacher,price
C00001,人工智能课程1,人工智能,teacher_21,99.9
C00002,人工智能课程2,人工智能,teacher_27,199.9
C00003,数据库课程3,数据库,teacher_20,299.9
C00004,大数据课程4,大数据,teacher_24,99.9
C00005,大数据课程5,大数据,teacher_14,49.9
C00006,Web开发课程6,Web开发,teacher_1,29.9
C00007,Java课程7,Java,teacher_30,299.9
C00008,Web开发课程8,Web开发,teacher_28,199.9
C00009,数据库课程9,数据库,teacher_14,99.9
C00010,Web开发课程10,Web开发,teacher_7,199.9
C00011,大数据课程11,大数据,teacher_20,0
C00012,大数据课程12,大数据,teacher_29,29.9
C00013,Web开发课程13,Web开发,teacher_12,99.9
C00014,Web开发课程14,Web开发,teacher_1,199.9
C00015,Java课程15,Java,teacher_30,199.9
C00016,人工智能课程16,人工智能,teacher_8,299.9
C00017,Web开发课程17,Web开发,teacher_5,99.9
C00018,大数据课程18,大数据,teacher_24,299.9
C00019,数据库课程19,数据库,teacher_24,49.9
C00020,数据库课程20,数据库,teacher_10,0
C00021,Python课程21,Python,teacher_23,199.9
C00022,数据库课程22,数据库,teacher_1,299.9
C00023,Python课程23,Python,teacher_28,199.9
C00024,人工智能课程24,人工智能,teacher_29,199.9
C00025,Java课程25,Java,teacher_18,29.9
C00026,数据库课程26,数据库,teacher_23,0
C00027,Web开发课程27,Web开发,teacher_8,99.9
C00028,人工智能课程28,人工智能,teacher_5,49.9
C00029,Python课程29,Python,teacher_7,99.9
C00030,人工智能课程30,人工智能,teacher_15,0
C00031,Python课程31,Python,teacher_23,0
C00032,Java课程32,Java,teacher_21,0
C00033,人工智能课程33,人工智能,teacher_7,49.9
C00034,数据库课程34,数据库,teacher_20,299.9
C00035,数据库课程35,数据库,teacher_6,99.9
C00036,人工智能课程36,人工智能,teacher_20,0
C00037,数据库课程37,数据库,teacher_16,49.9
C00038,Python课程38,Python,teacher_13,199.9
C00039,Java课程39,Java,teacher_15,199.9
C00040,Web开发课程40,Web开发,teacher_30,29.9
C00041,Java课程41,Java,teacher_13,99.9
C00042,Python课程42,Python,teacher_15,299.9
C00043,Java课程43,Java,teacher_3,99.9
C00044,Java课程44,Java,teacher_18,49.9
C00045,大数据课程45,大数据,teacher_17,0
C00046,大数据课程46,大数据,teacher_24,49.9
C00047,Web开发课程47,Web开发,teacher_10,299.9
C00048,大数据课程48,大数据,teacher_25,49.9
C00049,Web开发课程49,Web开发,teacher_7,199.9
C00050,数据库课程50,数据库,teacher_19,0
C00051,Web开发课程51,Web开发,teacher_26,49.9
C00052,Python课程52,Python,teacher_25,49.9
C00053,大数据课程53,大数据,teacher_15,49.9
C00054,大数据课程54,大数据,teacher_2,299.9
C00055,人工智能课程55,人工智能,teacher_19,49.9
C00056,Python课程56,Python,teacher_8,99.9
C00057,人工智能课程57,人工智能,teacher_1,29.9
C00058,Java课程58,Java,teacher_5,0
C00059,数据库课程59,数据库,teacher_22,199.9
C00060,大数据课程60,大数据,teacher_16,0
C00061,Python课程61,Python,teacher_2,99.9
C00062,大数据课程62,大数据,teacher_22,99.9
C00063,Python课程63,Python,teacher_18,99.9
C00064,Web开发课程64,Web开发,teacher_25,99.9
C00065,Python课程65,Python,teacher_4,0
C00066,Java课程66,Java,teacher_18,29.9
C00067,数据库课程67,数据库,teacher_12,199.9
C00068,Java课程68,Java,teacher_1,49.9
C00069,数据库课程69,数据库,teacher_5,299.9
C00070,Java课程70,Java,teacher_9,99.9
C00071,数据库课程71,数据库,teacher_16,299.9
C00072,数据库课程72,数据库,teacher_20,49.9
C00073,Python课程73,Python,teacher_17,0
C00074,数据库课程74,数据库,teacher_19,0
C00075,人工智能课程75,人工智能,teacher_21,99.9
C00076,人工智能课程76,人工智能,teacher_8,29.9
C00077,Web开发课程77,Web开发,teacher_4,0
C00078,大数据课程78,大数据,teacher_3,29.9
C00079,Python课程79,Python,teacher_4,29.9
C00080,大数据课程80,大数据,teacher_26,0
C00081,数据库课程81,数据库,teacher_4,299.9
C00082,Python课程82,Python,teacher_26,99.9
C00083,大数据课程83,大数据,teacher_2,29.9
C00084,Java课程84,Java,teacher_14,99.9
C00085,Python课程85,Python,teacher_6,199.9
C00086,Python课程86,Python,teacher_12,49.9
C00087,Python课程87,Python,teacher_17,299.9
C00088,Python课程88,Python,teacher_24,199.9
C00089,大数据课程89,大数据,teacher_13,49.9
C00090,Python课程90,Python,teacher_25,99.9
C00091,Python课程91,Python,teacher_15,29.9
C00092,大数据课程92,大数据,teacher_22,199.9
C00093,Java课程93,Java,teacher_1,199.9
C00094,数据库课程94,数据库,teacher_19,49.9
C00095,Python课程95,Python,teacher_29,199.9
C00096,数据库课程96,数据库,teacher_3,99.9
C00097,数据库课程97,数据库,teacher_12,99.9
C00098,Python课程98,Python,teacher_27,299.9
C00099,大数据课程99,大数据,teacher_3,29.9
C00100,Java课程100,Java,teacher_3,49.9
