behavior_id,user_id,course_id,behavior_type,event_time,duration
B00000001,U000663,C00023,buy,2026-08-20 18:00:48,3206
B00000002,U000345,C00016,buy,2026-08-20 00:12:48,2777
B00000003,U000819,C00002,buy,2026-08-31 10:00:48,1742
B00000004,U000852,C00047,buy,2026-08-24 09:18:48,1147
B00000005,U000154,C00070,start_learning,2026-08-20 05:49:48,2059
B00000006,U000088,C00024,finish,2026-08-14 15:53:48,2094
B00000007,U000427,C00082,start_learning,2026-08-24 17:37:48,3249
B00000008,U000003,C00056,start_learning,2026-08-04 10:12:48,249
B00000009,U000684,C00007,start_learning,2026-08-17 15:35:48,983
B00000010,U000155,C00094,view,2026-08-10 05:00:48,1496
B00000011,U000204,C00001,view,2026-08-31 03:58:48,2909
B00000012,U000326,C00023,start_learning,2026-08-23 16:14:48,2308
B00000013,U000700,C00006,start_learning,2026-08-21 11:43:48,695
B00000014,U000520,C00091,view,2026-08-17 12:21:48,1632
B00000015,U000583,C00090,start_learning,2026-09-01 01:05:48,466
B00000016,U000045,C00030,view,2026-08-26 17:56:48,2875
B00000017,U000992,C00024,buy,2026-08-13 00:29:48,1443
B00000018,U000017,C00047,finish,2026-08-15 15:52:48,2382
B00000019,U000275,C00077,view,2026-08-08 10:23:48,3049
B00000020,U000123,C00034,favorite,2026-08-02 18:53:48,3064
B00000021,U000952,C00080,start_learning,2026-08-26 16:34:48,1160
B00000022,U000362,C00076,finish,2026-08-21 23:23:48,2131
B00000023,U000166,C00091,view,2026-08-14 11:02:48,1727
B00000024,U000629,C00099,buy,2026-08-16 01:41:48,2453
B00000025,U000607,C00050,buy,2026-08-22 15:19:48,2475
B00000026,U000571,C00086,start_learning,2026-08-29 22:06:48,1261
B00000027,U000637,C00035,buy,2026-08-12 00:33:48,1567
B00000028,U000823,C00008,start_learning,2026-08-19 10:18:48,1006
B00000029,U000837,C00087,finish,2026-08-30 05:37:48,1276
B00000030,U000312,C00033,buy,2026-08-07 05:02:48,3489
